0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:50 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:50 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:53 +0900] "GET /LearnJapanese/Kanji.jsp HTTP/1.1" 200 6147
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:53 +0900] "GET /LearnJapanese/js/Kanji.js HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:53 +0900] "GET /LearnJapanese/css/Kanji.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:54 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 54991
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:00 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:00 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:01 +0900] "GET /LearnJapanese/Kanji.jsp HTTP/1.1" 200 6147
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:01 +0900] "POST /LearnJapanese/KanjiController HTTP/1.1" 200 54991
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:02 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:02 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:03 +0900] "GET /LearnJapanese/Bunpo.jsp HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:03 +0900] "GET /LearnJapanese/js/Bunpo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:03 +0900] "GET /LearnJapanese/css/Bunpo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:03 +0900] "POST /LearnJapanese/BunpoController HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:05 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:05 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:43:06 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:49:54 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:49:54 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1989
